film,rating,url
Příběh koček,50,https://kultura.zpravy.idnes.cz/pribeh-kocek-recenze-0lb-/filmvideo.aspx?c=A180814_102925_filmvideo_ts
Léto,70,https://kultura.zpravy.idnes.cz/recenze-leto-kirill-serebrennikov-d5x-/filmvideo.aspx?c=A180810_132130_filmvideo_ts
Meg: Monstrum z hlubin,40,https://kultura.zpravy.idnes.cz/meg-monstrum-z-hlubin-recenze-velezralok-megalodon-fhd-/filmvideo.aspx?c=A180810_092232_filmvideo_ts
Whitney,65,https://kultura.zpravy.idnes.cz/whitney-houston-recenze-dokument-dre-/filmvideo.aspx?c=A180809_095008_filmvideo_ts
Úžasňákovi 2,65,https://kultura.zpravy.idnes.cz/uzasnakovi-2-recenze-0la-/filmvideo.aspx?c=A180806_095045_filmvideo_ts
Miss Hanoi,50,https://kultura.zpravy.idnes.cz/miss-hanoi-recenze-film-0vq-/filmvideo.aspx?c=A180803_151455_filmvideo_ts
Mission: Impossible – Fallout,75,https://kultura.zpravy.idnes.cz/mission-impossible-fallout-recenze-tom-cruise-fl1-/filmvideo.aspx?c=A180802_094754_filmvideo_ts
Chata na prodej,65,https://kultura.zpravy.idnes.cz/chata-na-prodej-recenze-07u-/filmvideo.aspx?c=A180720_122319_filmvideo_ts
Střídavá péče,65,https://kultura.zpravy.idnes.cz/stridava-pece-recenze-0ty-/filmvideo.aspx?c=A180719_104402_filmvideo_ts
Mamma Mia! Here We Go Again,55,https://kultura.zpravy.idnes.cz/recenze-mamma-mia-here-we-go-again-d4r-/filmvideo.aspx?c=A180718_415129_filmvideo_spm
"Utoya, 22. července",50,https://kultura.zpravy.idnes.cz/utoya-22-cervence-recenze-08r-/filmvideo.aspx?c=A180717_101645_filmvideo_ts
Studená válka,70,https://kultura.zpravy.idnes.cz/studena-valka-recenze-0ug-/filmvideo.aspx?c=A180716_103427_filmvideo_ts
Mrakodrap,50,https://kultura.zpravy.idnes.cz/mrakodrap-dwayne-johnson-recenze-dqv-/filmvideo.aspx?c=A180713_414170_filmvideo_spm
"Muž, který zabil Dona Quijota",55,https://kultura.zpravy.idnes.cz/muz-ktery-zabil-dona-quijota-recenze-dsd-/filmvideo.aspx?c=A180712_115346_filmvideo_ts
Hotel Transylvánie 3: Příšerózní dovolená,40,https://kultura.zpravy.idnes.cz/hotel-transylvanie-priserozni-dovolena-recenze-f6d-/filmvideo.aspx?c=A180711_141620_filmvideo_ts
Úsměvy smutných mužů,60,https://kultura.zpravy.idnes.cz/usmevy-smutnych-muzu-recenze-dkm-/filmvideo.aspx?c=A180706_152705_filmvideo_ts
Manžel na zkoušku,40,https://kultura.zpravy.idnes.cz/recenze-manzel-na-zkousku-095-/filmvideo.aspx?c=A180704_193826_filmvideo_ts
Ant-Man a Wasp,60,https://kultura.zpravy.idnes.cz/ant-man-a-wasp-recenze-0tv-/filmvideo.aspx?c=A180704_185636_filmvideo_ts
Sicario: Soldado,55,https://kultura.zpravy.idnes.cz/sicario-2-soldado-recenze-0x4-/filmvideo.aspx?c=A180630_153431_filmvideo_ts
Jurský svět: Zánik říše,55,https://kultura.zpravy.idnes.cz/jursky-svet-2-recenze-zanik-rise-dag-/filmvideo.aspx?c=A180621_410001_filmvideo_spm
Jsem božská,40,https://kultura.zpravy.idnes.cz/jsem-bozska-recenze-amy-schumerova-duk-/filmvideo.aspx?c=A180619_151218_filmvideo_ts
"Já, Simon",60,https://kultura.zpravy.idnes.cz/ja-simon-recenze-02a-/filmvideo.aspx?c=A180613_103015_filmvideo_ts
Escobar,55,https://kultura.zpravy.idnes.cz/escobar-recenze-0i6-/filmvideo.aspx?c=A180612_101906_filmvideo_ts
Teheránská tabu,70,https://kultura.zpravy.idnes.cz/teheranska-tabu-recenze-0sh-/filmvideo.aspx?c=A180611_122815_filmvideo_ts
Debbie a její parťačky,50,https://kultura.zpravy.idnes.cz/debbie-a-jeji-partacky-recenze-dkd-/filmvideo.aspx?c=A180607_093953_filmvideo_ts
Backstage,25,https://kultura.zpravy.idnes.cz/backstage-recenze-0mi-/filmvideo.aspx?c=A180606_105512_filmvideo_ts
Pat a Mat znovu v akci,55,https://kultura.zpravy.idnes.cz/pat-a-mat-znovu-v-akci-recenze-dj8-/filmvideo.aspx?c=A180605_105603_filmvideo_ts
Dámský klub,40,https://kultura.zpravy.idnes.cz/damsky-klub-recenze-044-/filmvideo.aspx?c=A180528_142445_filmvideo_ts
Černé zlato,60,https://kultura.zpravy.idnes.cz/cerne-zlato-recenze-044-/filmvideo.aspx?c=A180528_094821_filmvideo_ts
Teambuilding,20,https://kultura.zpravy.idnes.cz/teambuilding-recenze-05q-/filmvideo.aspx?c=A180525_164741_filmvideo_ts
Dukla 61,80,https://kultura.zpravy.idnes.cz/dukla-61-serial-film-ceska-televize-david-ondricek-martha-issova-pvk-/filmvideo.aspx?c=A180525_403543_filmvideo_spm
Solo: Star Wars Story,65,https://kultura.zpravy.idnes.cz/solo-star-wars-story-recenze-djd-/filmvideo.aspx?c=A180524_403277_filmvideo_spm
Na krátko,60,https://kultura.zpravy.idnes.cz/na-kratko-recenze-0z3-/filmvideo.aspx?c=A180523_115822_filmvideo_ts
Kolem Mileny Jesenské,55,https://kultura.zpravy.idnes.cz/kolem-mileny-jesenske-recenze-dk5-/filmvideo.aspx?c=A180522_095941_filmvideo_ts
Pod jedním stromem,55,https://kultura.zpravy.idnes.cz/pod-jednim-stromem-recenze-d0s-/filmvideo.aspx?c=A180521_115654_filmvideo_ts
Deadpool 2,55,https://kultura.zpravy.idnes.cz/deadpool-2-recenze-0m2-/filmvideo.aspx?c=A180516_092553_filmvideo_ts
Zlatá mládež 2,50,https://kultura.zpravy.idnes.cz/zlata-mladez-recenze-0rj-/filmvideo.aspx?c=A180515_151738_filmvideo_ts
Zimní bratři,60,https://kultura.zpravy.idnes.cz/zimni-bratri-recenze-0rb-/filmvideo.aspx?c=A180514_150547_filmvideo_ts
Bohu žel,50,https://kultura.zpravy.idnes.cz/recenze-bohu-zel-dokument-uprchlici-bezenci-v-cr-fu4-/filmvideo.aspx?c=A180511_120838_filmvideo_ts
Jak napálit banku,50,https://kultura.zpravy.idnes.cz/jak-napalit-banku-recenze-0hv-/filmvideo.aspx?c=A180510_151119_filmvideo_ts
